PropertyUrl,ID,Street,HouseNumber,Box,Floor,City,PostalCode,Region,District,Province,PropertyType,PropertySubType,Price,SaleType,ConstructionYear,BedroomCount,LivingArea,KitchenType,Furnished,Fireplace,Terrace,TerraceArea,Garden,GardenArea,Facades,SwimmingPool,Condition,EPCScore,Latitude,Longitude
,11050526,Avenue des Communautes,"4,B15",,1,Evere,1140,BRUSSELS,Brussels,Brussels,APARTMENT,APARTMENT,325000,residential_sale,2022,2,101,USA_HYPER_EQUIPPED,False,False,True,18,,,2,False,AS_NEW,A,50.8582632,4.4251766
,11155049,Nieuwelaan,121,,1,Grimbergen,1853,FLANDERS,Halle-Vilvoorde,Flemish Brabant,APARTMENT,APARTMENT,250000,residential_sale,1972,2,100,INSTALLED,False,False,True,16,,,4,False,GOOD,B,50.9027742,4.3473616
,11156429,Square Vergote,9,,4,Woluwe-Saint-Lambert,1200,BRUSSELS,Brussels,Brussels,APARTMENT,APARTMENT,785000,residential_sale,1990,3,230,USA_HYPER_EQUIPPED,False,False,True,20,,,2,False,GOOD,G,50.8447709,4.4039522
,11154851,Avenue des Gerfauts,10,,12,Watermael-Boitsfort,1170,BRUSSELS,Brussels,Brussels,APARTMENT,APARTMENT,249000,residential_sale,1966,1,70,HYPER_EQUIPPED,,False,True,9,,,2,False,GOOD,F,50.8121476,4.4174092
,11154878,Boulevard Leopold II,61,20,2,Molenbeek-Saint-Jean,1080,BRUSSELS,Brussels,Brussels,APARTMENT,APARTMENT,215000,residential_sale,2012,2,70,USA_INSTALLED,,False,,,,,2,False,GOOD,C,50.8601331,4.3424018
,11153142,Boulevard Géneral Jacques,42,,3,Ixelles,1050,BRUSSELS,Brussels,Brussels,APARTMENT,FLAT_STUDIO,247500,residential_sale,1969,0,44,INSTALLED,False,False,True,4,,,2,False,AS_NEW,F,50.8176653,4.3785382
,11156677,Bayauxlaan,34,A1,1,Knokke-Heist,8300,FLANDERS,Brugge,West Flanders,APARTMENT,APARTMENT,445000,residential_sale,1936,2,75,HYPER_EQUIPPED,True,False,,,,,2,False,JUST_RENOVATED,C,51.3491379,3.2854853
,11156524,Nijverheidsstraat,95,,,Erpe-Mere,9420,FLANDERS,Aalst,East Flanders,HOUSE,HOUSE,395000,residential_sale,2007,4,217,HYPER_EQUIPPED,,False,True,,,238,2,False,AS_NEW,B,50.919114,3.9646584
,11156837,Rue Emile Vandervelde,361,,,Beyne-Heusay Bellaire,4610,WALLONIE,Liège,Liège,HOUSE,HOUSE,289900,residential_sale,1933,3,140,INSTALLED,False,False,True,22,True,185,4,False,GOOD,G,50.6426168,5.6669736
,11153826,Paul Vekemanslaan,61, 3v,3,HOBOKEN,2660,FLANDERS,Antwerp,Antwerp,APARTMENT,APARTMENT,210000,residential_sale,1980,3,93,INSTALLED,,False,True,7,,,,,JUST_RENOVATED,C,51.1763192,4.3620869
,11156811,Rue Jean Volders,260,,,Oupeye,4683,WALLONIE,Liège,Liège,HOUSE,HOUSE,210000,residential_sale,1970,3,78,NOT_INSTALLED,False,False,True,12,True,399,3,False,TO_RENOVATE,G,50.7028377,5.6386937
,11154663,rue Groeselenberg,53,0,2,Uccle,1180,BRUSSELS,Brussels,Brussels,APARTMENT,PENTHOUSE,1295000,residential_sale,2022,3,179,USA_HYPER_EQUIPPED,False,False,True,36,,,4,False,AS_NEW,C,50.8026478,4.3523223
,11156812,Avenue de l'Agriculture,117,,,Liège,4030,WALLONIE,Liège,Liège,HOUSE,HOUSE,234000,residential_sale,1961,2,130,SEMI_EQUIPPED,False,False,True,38,True,236,3,False,GOOD,D,50.6296431,5.6101569
,11012764,Avenue des Communautes,4,,14,Evere,1140,BRUSSELS,Brussels,Brussels,APARTMENT,APARTMENT,525000,residential_sale,2022,3,140,USA_HYPER_EQUIPPED,False,False,True,13,,,2,False,AS_NEW,A,50.859963,4.4210558
,11155286,Clos Albert Crommelynck,44,,1,Auderghem,1160,BRUSSELS,Brussels,Brussels,APARTMENT,APARTMENT,700000,residential_sale,2005,2,132,HYPER_EQUIPPED,False,False,True,36,,,4,False,GOOD,D,50.8236011,4.4305544
,11154117,Avenue du Directoire,73,,,Uccle,1180,BRUSSELS,Brussels,Brussels,HOUSE,HOUSE,670000,residential_sale,1979,4,275,INSTALLED,,False,True,18,True,284,2,False,TO_BE_DONE_UP,D,50.7865832,4.3617109
,11140883,Onderstraat,9,,2,Gavere,9890,FLANDERS,Gent,East Flanders,APARTMENT,DUPLEX,438875,residential_sale,2021,3,146,HYPER_EQUIPPED,False,False,True,11,,,4,False,AS_NEW,A,50.929796,3.6626257
,11154854,Avenue du Gobelet d'Or,6,,1,Woluwe-Saint-Lambert,1200,BRUSSELS,Brussels,Brussels,APARTMENT,APARTMENT,490000,residential_sale,1991,3,144,INSTALLED,False,False,,,,,2,False,GOOD,D,50.8478208,4.4455682
,11140877,Egmont Park,11,,3,Gavere,9890,FLANDERS,Gent,East Flanders,APARTMENT,APARTMENT,419760,residential_sale,2021,2,165,HYPER_EQUIPPED,False,False,True,11,,,4,False,AS_NEW,A,50.9284071,3.679605
,11155545,Maalse Steenweg,482,,,Sint-Kruis,8310,FLANDERS,Brugge,West Flanders,HOUSE,VILLA,995000,residential_sale,1978,5,367,HYPER_EQUIPPED,,False,,,True,1455,4,,GOOD,B,51.2074689,3.2836426
,11140882,Onderstraat,9,,2,Gavere,9890,FLANDERS,Gent,East Flanders,APARTMENT,DUPLEX,442375,residential_sale,2021,3,148,HYPER_EQUIPPED,False,False,True,11,,,4,False,AS_NEW,A,50.929796,3.6626257
,11140887,Egmont Park,11,,1,Gavere,9890,FLANDERS,Gent,East Flanders,APARTMENT,APARTMENT,373650,residential_sale,2021,2,126,HYPER_EQUIPPED,False,False,True,11,,,4,False,AS_NEW,A,50.9284071,3.679605
,11153221,Avenue Général Dossin de Saint-Georges,61,,2,Ixelles,1050,BRUSSELS,Brussels,Brussels,APARTMENT,APARTMENT,395000,residential_sale,1956,2,108,INSTALLED,,False,True,,,,3,False,AS_NEW,D,50.8095584,4.3868558
,11140879,Egmont Park,11,,2,Gavere,9890,FLANDERS,Gent,East Flanders,APARTMENT,APARTMENT,377150,residential_sale,2021,3,126,HYPER_EQUIPPED,False,False,True,11,,,4,False,AS_NEW,A,50.9284071,3.679605
,11153848,Rue Roberts Jones - Roberts Jonesstraat,38,,2,Uccle,1180,BRUSSELS,Brussels,Brussels,APARTMENT,APARTMENT,340000,residential_sale,1974,1,48,USA_HYPER_EQUIPPED,True,False,,,,,1,False,AS_NEW,C,50.8074827,4.3552938
,11140880,Egmont Park,11,,2,Gavere,9890,FLANDERS,Gent,East Flanders,APARTMENT,APARTMENT,275450,residential_sale,2021,1,76,HYPER_EQUIPPED,False,False,True,11,,,4,False,AS_NEW,A,50.9284071,3.679605
,11150049,Rue Horace - Horatiusstraat,10,,,Anderlecht,1070,BRUSSELS,Brussels,Brussels,HOUSE,HOUSE,415000,residential_sale,1926,3,107,USA_HYPER_EQUIPPED,,True,True,70,True,250,3,False,JUST_RENOVATED,D,50.8443371,4.2896647
,11155234,Rue du roi,1,,,Rixensart,1330,WALLONIE,Nivelles,Walloon Brabant,HOUSE,HOUSE,360000,residential_sale,1860,3,225,SEMI_EQUIPPED,False,False,True,12,True,479,3,False,TO_BE_DONE_UP,D,50.7051261,4.5073804
,11140881,Egmont Park,11,,1,Gavere,9890,FLANDERS,Gent,East Flanders,APARTMENT,APARTMENT,269700,residential_sale,2021,1,76,HYPER_EQUIPPED,False,False,True,11,,,4,,AS_NEW,A,50.9284071,3.679605
,11150386,Ferdinand Lousbergskaai,81,,2,Ghent,9000,FLANDERS,Gent,East Flanders,APARTMENT,APARTMENT,398000,residential_sale,1965,3,95,HYPER_EQUIPPED,,False,True,5,,,2,False,AS_NEW,B,51.0480955,3.7393814
,11150926,Swolfsstraat,10, 5C,5,KNOKKE,8300,FLANDERS,Brugge,West Flanders,APARTMENT,APARTMENT,925000,residential_sale,1978,2,82,SEMI_EQUIPPED,,False,True,72,,,2,,TO_RENOVATE,C,51.3539739,3.2936069
,11148725,Rue de la Filature,20,,7,Anderlecht,1070,BRUSSELS,Brussels,Brussels,APARTMENT,APARTMENT,289500,residential_sale,2022,2,87,USA_HYPER_EQUIPPED,,False,True,11,,,3,False,AS_NEW,A,50.8296128,4.3164317
,10946278,Place du Grand Luxembourg,7, 32,3,ARLON,6700,WALLONIE,Arlon,Luxembourg,APARTMENT,APARTMENT,345000,residential_sale,2013,2,86,INSTALLED,,False,True,8,,,,,GOOD,B,49.6775402,5.8059578
,11151417,Rue Marcel Remy,1, 3/6,3,GRIVEGNÉE,4030,WALLONIE,Liège,Liège,APARTMENT,APARTMENT,139000,residential_sale,1976,2,73,NOT_INSTALLED,,False,True,11,,,2,,TO_BE_DONE_UP,E,50.6281169,5.6291037
,11152796,Miksebaan,252a,,2,Brasschaat,2930,FLANDERS,Antwerp,Antwerp,APARTMENT,APARTMENT,529000,residential_sale,2000,2,155,HYPER_EQUIPPED,,False,True,15,,,,False,AS_NEW,A,51.296794,4.517428
,11152248,Zilverstraat,16,3.06,3,Bruxelles,1000,BRUSSELS,Brussels,Brussels,APARTMENT,APARTMENT,289000,residential_sale,2012,1,88,HYPER_EQUIPPED,False,False,,,,,2,False,GOOD,B,50.8507767,4.3556963
,11150480,Rijsenbergstraat,242,,8,Gent,9000,FLANDERS,Gent,East Flanders,APARTMENT,APARTMENT,625000,residential_sale,1970,3,200,SEMI_EQUIPPED,False,False,True,25,,,2,False,TO_RENOVATE,B,51.0428018,3.7022141
,11150545,Veronicastraat,3,,1,Gent,9000,FLANDERS,Gent,East Flanders,APARTMENT,APARTMENT,260000,residential_sale,1965,2,99,INSTALLED,False,False,True,4,,,2,False,GOOD,B,51.0749207,3.713325
,11151762,Avenue Wielemans Ceuppens,169,,5,Forest,1190,BRUSSELS,Brussels,Brussels,APARTMENT,APARTMENT,275000,residential_sale,1962,2,79,INSTALLED,False,False,,,,,2,False,AS_NEW,G,50.8240738,4.3336574
,11064472,Avenue Minerve,37,32,9,Forest,1190,BRUSSELS,Brussels,Brussels,APARTMENT,APARTMENT,350000,residential_sale,1960,2,102,INSTALLED,False,False,True,12,,,2,False,GOOD,C,50.8100491,4.3308705
,11151131,ANJELIERENLAAN,10,,,Steenokkerzeel,1820,FLANDERS,Halle-Vilvoorde,Flemish Brabant,HOUSE,HOUSE,475000,residential_sale,1989,3,161,INSTALLED,,True,True,,True,721,4,,GOOD,C,50.9227337,4.5015582
,10699181,Leopoldhelling,4,,8,BLANKENBERGE,8370,FLANDERS,Brugge,West Flanders,APARTMENT,APARTMENT,279000,residential_sale,1981,1,58,INSTALLED,,False,True,,,,,,GOOD,B,51.3146594,3.122708
,11152299,KRUIDTUINLAAN,"3, B3",,3,Brussels City,1000,BRUSSELS,Brussels,Brussels,APARTMENT,APARTMENT,195000,residential_sale,2010,1,33,INSTALLED,True,True,True,3,,,3,,GOOD,E,50.8546109,4.3606333
,11152298,KIEKENMARKT,52, 216,2,Brussels City,1000,BRUSSELS,Brussels,Brussels,APARTMENT,FLAT_STUDIO,165000,residential_sale,2014,0,33,USA_HYPER_EQUIPPED,True,True,,,,,2,,GOOD,E,50.8485452,4.3516458
